src/HartsyInference.Audio/Models/Codecs/Vocos/VocosDecoder.cs(22,23): warning CA1823: Unused field 'InputChannels' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Models/PocketTts/PocketTtsMimiDecoder.cs(23,23): warning CA1823: Unused field 'LatentDim' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Models/ResembleEnhance/ResembleIrmae.cs(14,35): warning IDE0052: Private member 'ResembleIrmae._melDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Audio/Models/Rvc/RvcRmvpe.cs(335,26): warning IDE0052: Private member 'ConvBlockRes._inC' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Audio/Models/Rvc/RvcRmvpe.cs(468,26): warning IDE0052: Private member 'ResDecoderBlock._inC' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Audio/Models/SparkTts/SparkVocosBackbone.cs(18,32): warning IDE0052: Private member 'VocosBackbone._intermediate' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Audio/Models/SparkTts/SparkVocosBackbone.cs(18,59): warning IDE0052: Private member 'VocosBackbone._conditionDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Audio/Models/SparkTts/SparkVocosBackbone.cs(90,25): warning CA1823: Unused field 'Eps' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Models/VibeVoice/VibeVoiceCosineDpmSolver.cs(29,25): warning CA1823: Unused field 'SnrThreshold' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Models/Whisper/WhisperDecoder.cs(70,40): warning IDE0052: Private member 'WhisperDecoder.DecodeState._cfg' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Audio/Phonemizer/Espeak/EspeakPhonemizer.cs(14,41): warning IDE0052: Private member 'EspeakPhonemizer._variant' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Audio/Phonemizer/Espeak/EspeakStress.cs(11,24): warning CA1823: Unused field 'PhonPause' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Phonemizer/Espeak/EspeakStress.cs(11,24): warning IDE0051: Private member 'EspeakStress.PhonPause' is unused (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0051) 
src/HartsyInference.Audio/Phonemizer/Espeak/EspeakStress.cs(12,24): warning CA1823: Unused field 'PhonPauseNoLink' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Phonemizer/Espeak/EspeakStress.cs(12,24): warning IDE0051: Private member 'EspeakStress.PhonPauseNoLink' is unused (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0051) 
src/HartsyInference.Audio/Phonemizer/Espeak/EspeakStress.cs(15,24): warning CA1823: Unused field 'PhonEndWord' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Phonemizer/Espeak/EspeakStress.cs(15,24): warning IDE0051: Private member 'EspeakStress.PhonEndWord' is unused (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0051) 
src/HartsyInference.Audio/Phonemizer/Espeak/EspeakStress.cs(17,24): warning CA1823: Unused field 'PhonPauseVShort' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Phonemizer/Espeak/EspeakStress.cs(17,24): warning IDE0051: Private member 'EspeakStress.PhonPauseVShort' is unused (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0051) 
src/HartsyInference.Audio/Phonemizer/Espeak/EspeakWordLookup.cs(8,23): warning CA1823: Unused field 'TransposeOffset' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Audio/Pipelines/ZonosTts.cs(16,34): warning IDE0052: Private member 'ZonosTts._cfg' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Core/MemoryManagement/BlockStreamingScope.cs(18,31): warning IDE0052: Private member 'BlockStreamingScope._backend' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/Diamond/DiamondUNet.cs(161,26): warning IDE0052: Private member 'DiamondUNet._numDown' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/DiTBlocks/AnimaBlock.cs(65,17): warning IDE0052: Private member 'AnimaBlock._kvDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/DiTBlocks/ChromaApproximator.cs(20,26): warning IDE0052: Private member 'ChromaApproximator._inDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/DiTBlocks/Flux2DoubleBlock.cs(12,26): warning IDE0052: Private member 'Flux2DoubleBlock._mlpInner' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/DiTBlocks/FluxDoubleStreamBlock.cs(12,26): warning IDE0052: Private member 'FluxDoubleStreamBlock._mlpDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/DiTBlocks/JointBlock.cs(12,26): warning IDE0052: Private member 'JointBlock._ffDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/DiTBlocks/LensTransformerBlock.cs(28,26): warning IDE0052: Private member 'LensTransformerBlock._mlpDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/DiTBlocks/LtxVideo2TextConnectors.cs(148,36): warning IDE0052: Private member 'LtxVideo2TextConnectors.Connector._heads' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/DiTBlocks/LtxVideo2TextConnectors.cs(148,44): warning IDE0052: Private member 'LtxVideo2TextConnectors.Connector._headDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/DiTBlocks/QwenImageBlock.cs(28,26): warning IDE0052: Private member 'QwenImageBlock._mlpDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/Ideogram4Transformer.cs(15,23): warning CA1823: Unused field 'LlmTokenIndicator' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Diffusion/Models/Denoisers/UNetBlocks/CrossAttentionBlock.cs(184,26): warning IDE0052: Private member 'TransformerSubBlock._contextDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/UNetBlocks/DownBlock.cs(9,26): warning IDE0052: Private member 'DownBlock._outChannels' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/UNetBlocks/UpBlock.cs(10,26): warning IDE0052: Private member 'UpBlock._outChannels' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/UNetBlocks/UpBlock.cs(11,26): warning IDE0052: Private member 'UpBlock._prevOutChannels' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Denoisers/UNetBlocks/UpBlock.cs(9,26): warning IDE0052: Private member 'UpBlock._inChannels' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Vae/QwenImage/QwenImageVaeBlocks.cs(25,26): warning IDE0052: Private member 'QwenImageResidualBlock._inDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Vae/QwenImage/QwenImageVaeEncoder.cs(237,26): warning IDE0052: Private member 'QwenImageDownsample._inDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Diffusion/Models/Vae/Wan22AttentionBlock.cs(9,26): warning IDE0052: Private member 'Wan22AttentionBlock._dim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Engine/Recipes/Image/HunyuanImageRecipePipeline.cs(21,25): warning CA1823: Unused field 'DefaultCfg' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Engine/Recipes/Image/HunyuanImageRecipePipeline.cs(21,25): warning IDE0051: Private member 'HunyuanImageRecipePipeline.DefaultCfg' is unused (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0051) 
src/HartsyInference.Engine/Recipes/Image/QwenImageRecipePipeline.cs(30,25): warning CA1823: Unused field 'DefaultCfg' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Engine/Recipes/Image/QwenImageRecipePipeline.cs(30,25): warning IDE0051: Private member 'QwenImageRecipePipeline.DefaultCfg' is unused (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0051) 
src/HartsyInference.Engine/Recipes/Video/LtxVideoRecipePipeline.cs(23,31): warning IDE0052: Private member 'LtxVideoRecipePipeline._backend' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.LLM/Transformer/FixedKvCache.cs(15,28): warning IDE0052: Private member 'FixedKvCache._headDimPerLayer' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.LLM/Transformer/FixedKvCache.cs(17,28): warning IDE0052: Private member 'FixedKvCache._dtype' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.ModelAssets/CheckpointConverters/Sd15CheckpointConverter.cs(45,36): warning CA1823: Unused field '_outputBlockHasUpsample' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.ModelAssets/CheckpointConverters/Sd15CheckpointConverter.cs(45,36): warning IDE0052: Private member 'Sd15CheckpointConverter._outputBlockHasUpsample' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.ModelAssets/CheckpointConverters/SdxlCheckpointConverter.cs(41,36): warning CA1823: Unused field '_outputBlockHasUpsample' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.ModelAssets/CheckpointConverters/SdxlCheckpointConverter.cs(41,36): warning IDE0052: Private member 'SdxlCheckpointConverter._outputBlockHasUpsample' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.ModelAssets/CheckpointConverters/SdxlRefinerCheckpointConverter.cs(42,36): warning CA1823: Unused field '_outputBlockHasUpsample' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.ModelAssets/CheckpointConverters/SdxlRefinerCheckpointConverter.cs(42,36): warning IDE0052: Private member 'SdxlRefinerCheckpointConverter._outputBlockHasUpsample' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.ModelAssets/Tokenizers/WhisperTokenizer.cs(47,36): warning CA1823: Unused field '_byteToUnicode' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.ModelAssets/Tokenizers/WhisperTokenizer.cs(47,36): warning IDE0052: Private member 'WhisperTokenizer._byteToUnicode' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.ThreeD/Models/Hunyuan3D/Hunyuan3DFluxBlocks.cs(10,55): warning IDE0052: Private member 'Hunyuan3DDoubleBlock._mlpDim' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.ThreeD/Models/Trellis/SparseStructureFlow.cs(10,25): warning CA1823: Unused field 'NormEps' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Video/Tokenizers/HaarWavelet3D.cs(21,35): warning CA1823: Unused field 'InvSqrt2' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
src/HartsyInference.Vision/Clip/ClipModelLoader.cs(27,41): warning IDE0052: Private member 'ClipModelLoader._weights' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Vision/Detection/Blocks/C2f.cs(19,26): warning IDE0052: Private member 'C2f._inChannels' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Vision/Detection/Blocks/C2f.cs(20,26): warning IDE0052: Private member 'C2f._outChannels' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Vision/Detection/Blocks/C2f.cs(23,27): warning IDE0052: Private member 'C2f._shortcut' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Vision/Detection/Blocks/C2psa.cs(20,26): warning IDE0052: Private member 'C2psa._inOutChannels' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Vision/Detection/Blocks/C2psa.cs(23,26): warning IDE0052: Private member 'C2psa._numBlocks' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Vision/Detection/Blocks/C3k2.cs(18,26): warning IDE0052: Private member 'C3k2._outChannels' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Vision/Detection/Blocks/PsaBlock.cs(16,26): warning IDE0052: Private member 'PsaBlock._channels' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Vision/Detection/Blocks/Sppf.cs(18,26): warning IDE0052: Private member 'Sppf._outChannels' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Vision/Detection/GroundingDino/GroundingDinoEncoder.cs(128,46): warning IDE0052: Private member 'GroundingDinoEncoder.EncoderLayer._cfg' can be removed as the value assigned to it is never read (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/style-rules/ide0052) 
src/HartsyInference.Vision/Detection/OpenPoseRenderer.cs(10,23): warning CA1823: Unused field 'JointRadius' (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1823) 
